,company_name,description,href,full_complain
20,mercado-pago,"Tirando um extrato da minha conta as minhas vendas do dia 26 ao dia 28 eu vendi R$ 6.045,50, só que na segunda dia 29 fui olhar e ",valor-sumiu-da-minha-conta-vendi-um-valor-e-sumiu-uma-parte_OGbCYWPi_AkR-bAE,"Tirando um extrato da minha conta as minhas vendas do dia 26 ao dia 28 eu vendi R$ 6.045,50, só que na segunda dia 29 fui olhar e só tinha R$5.316,13(já contanto com os pagamentos que fiz no período de 26 a 28) ou seja simplesmente sumiu da minha conta R$729,37(esse valor pode ser menor, porque não tirei as taxas da maquina).Esse sistema do mercado pago ta um lixo, se não tiver ligado do extrato, toda hora tomamos prejuízo, eu quero o meu dinheiro."
21,mercado-pago,"Gostaria de salientar que fujam do Mercado Pago, por conta dele, meu trabalho online ficou indisponível por conta da demora do pag",10-dias-para-aprovar-uma-compra_lrJ6dGPV1bLgm5za,"Gostaria de salientar que fujam do Mercado Pago, por conta dele, meu trabalho online ficou indisponível por conta da demora do pagamento. 10 dias para compensar um pagamento, sendo que paguei por outro serviço, idêntico, no mesmo dia e poucas horas depois foi compensado. Queria saber se o Mercado Pago irá me pagar por esse prejuízo. Não recomendo Mercado Pago."
22,mercado-pago,Gostaria de saber o motivo da retenção pois não consta o número do processo judicial correspondente.,retido_etRTGvc4kGPPB-yN,Gostaria de saber o motivo da retenção pois não consta o número do processo judicial correspondente.
23,mercado-pago,"Mercado pago tentei negociar por contratos, nao aceitam , não concedem desconto de antecipacao de pagamento, nao consegue fazer a",reclamacao-pela-imcompetencia-de-atendimento_n3ziNU99cC3JkNmE," Mercado pago tentei negociar por contratos, nao aceitam , não concedem desconto de antecipacao de pagamento, nao consegue fazer absolutamente nadapelo chat, pessimo atendimento grosseiria extrema e pelo 0800 nenhuma vontade em solucionar o problema "
24,mercado-pago,"Prezados Senhores,Informo que já há alguns dias, venho recebendo inúmeras mensagens de cobrança, por parte do ""Me",cobranca-indevida_RcmZ9g8q1c0puJRF,"Prezados Senhores,Informo que já há alguns dias, venho recebendo inúmeras mensagens de cobrança, por parte do ""Mercado Crédito"". Nos últimos dias, estou recebendo informações informando que o meu ""nome"" será incluso nos SPC e SERASA.Tenho enviado alguns e-mails para o ""Mercado Crédito"", informando o ocorrido e que o débito em aberto, não foi de minha autoria, além de que eu tentei entrar em contato por telefone em contato com a empresa, e a única opção disponível, é através de e-mail.Até o presente momento, não recebi qualquer ligação por parte do Mercado Crédito demonstrando interesse em solucionar o meu caso, já que poderei ser incluso nos Órgãos de Proteção ao Crédito à qualquer momento. Infelizmente não haverá outra alternativa, caso por ventura o meu nome venha ser incluído nos Órgãos de Proteção ao Crédito, gerando assim grande transtorno e prejuízos, além do danos morais imputado a minha pessoa.Venho reforçando ao Mercado Crédito sobre a minha idoneidade, não tenho ideia de onde surgiu essa cobrança, que já está em R$ 342,40 na data atual, além de que eu estou bloqueado para efetuar compras no site do Mercado Livre.Sem mais para o momento, e espero que o Mercado Crédito tome as devidas providências o mais breve possível, limpando o meu nome, caso contrário, terei que tomar as providências cabíveis. Atenciosamente,João Medeiros"
25,mercado-pago,"Recebi de um amigo um cupom de desconto de R$ 10,00 no primeiro abastecimento.Fiz toda a burocracia do aplicativo, inclusive",desconto-nao-concedido-no-abastecimento__Oq24vLL3kTqI0F-,"Recebi de um amigo um cupom de desconto de R$ 10,00 no primeiro abastecimento.Fiz toda a burocracia do aplicativo, inclusive cadastrando meu cartão de crédito. O app até lançou um débito seguido de estorno no valor de R$ 5.95 no ato do cadastro, até aí tudo bem. Dois dias depois resolvi abastecer no posto Shell, mesmo com a gasolina mais cara que outros na proximidade, pois sabia que receberia R$ 10,00 de desconto.Com a orientação do frentista abasteci R$ 50,00 colocando o código da bomba, tudo certinho, porém na hora de concluir o pagamento deu ERRO DE TRANSAÇÃO e tive que pagar normalmente, usando meu cartão de crédito, os R$ 50,00.Resumindo, perdi os R$ 10,00 de desconto e ainda paguei R$ 3,80 a mais do que se tivesse abastecido no meu posto de costume. O mais curioso é que na hora de cadastrar o cartão, o aplicativo não deu erro nos R$ 5.95, somente na hora de conceder o desconto.E agora Shell, como fica? Segue anexo o print do erro e a nota fiscal do abastecimento.Aguardo retorno.Att."
26,mercado-pago,"Boa tarde,fiz uma compra no cartão no mês 6,paguei 2 parcelas ainda,porém a compra foi estornado,produto devolvido e o limite volt",cartao-mercado-livre_lgCt2B3XNutVnWW_,"Boa tarde,fiz uma compra no cartão no mês 6,paguei 2 parcelas ainda,porém a compra foi estornado,produto devolvido e o limite voltou para o cartão, correto para todos,porém o mercado livre agora está me cobrando as parcelas e a atendente disse que esse é o procedimento, ou seja, errado,afinal não posso pagar por algo que já foi devolvido à eles e sair [Editado pelo Reclame Aqui],quero que resolvam. Além de tudo,a atendente sequer fez questão de abrir chamado pata resolver,apenas queria encerrar logo a conversa, péssimo atendimento. "
27,mercado-pago,"Olá, bom dia! Tudo bem? Tive minha conta do mercado clonada e solicitaram um cartão de crédito pra sua utilização, eu ",conta-e-cartao--clonados_xCOerT_JbeensV89,"Olá, bom dia! Tudo bem? Tive minha conta do mercado clonada e solicitaram um cartão de crédito pra sua utilização, eu nunca soube da existência desse cartão. Só soube quando começou a chegar e-mail na ultima semana a partir do dia 01/09 com cobranças dizendo que minha fatura estava em aberto. Desta forma, entrei no aplicativo pra entender o que estava acontecendo e pra minha surpresa tinha uma fatura de 900,00 em aberto com compras realizadas todas em um UNICO lugar no dia 11/08. Nota-se que nas evidências que estou enviando NUNCA foi usado este cartão, muito menos desbloqueado e feito qualquer transação por mim. Agora em um único dia utilizaram 6,00 em um lugar pra ver se estava ativo e no mesmo lugar fizeram mais 3 transações praticamente com o mesmo valor até chegar no limite do cartão. Isso é totalmente inaceitável, a falta de segurança da plataforma em permitir alguém ter acesso as suas informações, clonar dados e o cartão e utilizar de forma física. Tentei contato com a empresa porém o atendimento é bem fraco e feito por pessoas inexperientes, em cada momento seja por ligação, e-mail, whatsapp um fala uma coisa diferente. Abri diversos protocolos, também tentei ligar no SAC onde fico esperando na linha após ser atendido e a ligação cai. Preciso que de fato minha situação seja analisada, não posso ficar com esse prejuízo sem ter absolutamente nada haver e principalmente por uma conta que não utilizo e que teve quebra de segurança por responsabilidade da empresa. Também fico recebendo e-mails e ligações acusando que meu nome está indo para ação judicial bem como fatura em aberta com juros. Todos os protocolos estão nos prints, assim como evidências das ligações, email e whatsapp realizados. "
28,mercado-pago,MEU NOME É  ( ALEXANDRE MOREIRA DUARTE )NAS TRANSAÇÕES APARECE ( MEXANDRE MOREIRA DUARTE )JA ENTREI EM CONTATO COM O S,meu-nome-aparece-errado-toda-vez-que-recebo-ou-faco-um-pix_YyOkgv9FwrzDPWY2,MEU NOME É  ( ALEXANDRE MOREIRA DUARTE )NAS TRANSAÇÕES APARECE ( MEXANDRE MOREIRA DUARTE )JA ENTREI EM CONTATO COM O SUPORTE MAS NÃO SOLUCIONARAM MEU PROBLEMA
29,mercado-pago,"Bom dia, o titular da conta do mercado pago faleceu, e estamos tentando cancelar a conta dele para não ficar débitos como fizemos ",titular-faleceu-descaso-da-empresa-para-cancelar-cartao_H6imAFLtHZ-EIcYb,"Bom dia, o titular da conta do mercado pago faleceu, e estamos tentando cancelar a conta dele para não ficar débitos como fizemos em todos bancos inclusive banco digital sem burocracia desconsiderando a fatura dele desse mes e dando quitação aos débitos dele. Mercado pago disse que nao podemos cancelar apenas trocar titularidade mais queremos cancelar como que pode isso? 5 atendentes transferindo ligação e ninguém resolve e falam que não existe possibilidade de cancelar conta dele e cartão de crédito forçando outra pessoa pegar a titularidade. Um momento de dor ter que lidar com tamanha burocracia e falta de empatia da empresa na qual anos ele sempre pagou certinho sem atraso. "
