,company_name,brazilian_visitors,hq_country,bounce_rate,visit_duration,male,female,18-24,25-34,35-44,45-54,55-64,65+
71,pokerfuse.com,-1,United States,0.71,0.0,0.614,0.386,0.183,0.282,0.198,0.15,0.109,0.077
72,overlaygaming.com,-1,- -,,,,,,,,,,
73,indianonlinepoker.com,-1,- -,,,,,,,,,,
74,pokerbankroll.com,-1,- -,,,,,,,,,,
75,smokepoker.com,-1,- -,,,,,,,,,,
76,onlinepokernews.com,-1,- -,,,,,,,,,,
77,tonybet.com,-1,Lithuania,0.301,10.0,0.69,0.31,0.209,0.298,0.186,0.143,0.098,0.066
78,pokerindustrypro.com,-1,- -,0.91,0.0,0.603,0.397,0.219,0.3,0.193,0.138,0.092,0.058
79,onlinepokerdeutschland.com,-1,- -,,,,,,,,,,
80,learnwpt.com,-1,United States,0.498,3.0,0.627,0.373,0.18,0.282,0.199,0.149,0.112,0.078
81,nobleaces.com,-1,- -,,,,,,,,,,
82,playusaonlinepoker.com,-1,- -,,,,,,,,,,
83,pokerart.com,-1,- -,,,,,,,,,,
84,pokerart.com,-1,- -,,,,,,,,,,
85,playinglegal.com,-1,- -,,,,,,,,,,
86,wptglobal.com,14692,- -,0.627,1.0,0.604,0.396,0.224,0.279,0.194,0.138,0.096,0.07
87,mybet.it,-1,- -,,,,,,,,,,
88,pokerhigh.com,-1,India,0.491,4.0,0.605,0.395,0.336,0.36,0.145,0.079,0.049,0.032
89,bestoddscorp.com,-1,- -,,,,,,,,,,
90,poker-play.com.ua,-1,- -,,,,,,,,,,
91,online-poker-play.com,-1,- -,,,,,,,,,,
92,99onlinepoker.com,-1,- -,,,,,,,,,,
93,betvoyager.com,-1,Netherlands,0.31,1.0,0.589,0.411,0.222,0.298,0.185,0.132,0.097,0.066
94,casinocoin.im,-1,- -,,,,,,,,,,
95,freespinsgratis.com,-1,United States,0.383,0.0,0.572,0.428,0.204,0.287,0.2,0.144,0.1,0.064
96,pokertime.eu,-1,- -,,,,,,,,,,
97,bestonlinepokertips.net,-1,- -,,,,,,,,,,
